Authors,Title,Conference,Date
"Lubbe, S. and Brito, P. ",Symbolic Data Analysis and Visualisation with Principal Component Analysis Biplots.,"SASA: 66th Annual conference of the South African Statistical Association, Vanderbijlpark, South Africa, 24 – 28 November 2025.",2025-11-24
"Masoumifard, K. van der Westhuizen, S. and Lubbe, S.",Random Forest Models for Compositional Data.,"SASA: 66th Annual conference of the South African Statistical Association, Vanderbijlpark, South Africa, 24 – 28 November 2025.",2025-11-24
"Sebatjane, P., Lubbe, S. and le Roux, N.J. ",Calibration of compositional biplot axes. ,"SASA: 66th Annual conference of the South African Statistical Association, Vanderbijlpark, South Africa, 24 – 28 November 2025.",2025-11-24
"Lubbe, S. and Brito, P.",Principal Component Analysis Biplots for Interval Scaled Data.,"IX Latin American Conference on Statistical Computing LACSC 2025, Valparaíso, Chile, 4 – 7 November 2025.",2025-11-04
"Masoumifard, K., van der Westhuizen, S. and Lubbe, S. ",Dirichlet-Random Forest for Predicting Compositional Data.,"DSSV: Data Science, Statistics and Visualisation, Kruger National Park, South Africa, 7 – 9 July 2025.",2025-07-07
"Sebatjane, P., Lubbe, S. and le Roux, N.J. ",Visualisation of Compositional Data Using Biplots.,"DSSV: Data Science, Statistics and Visualisation, Kruger National Park, South Africa, 7 – 9 July 2025.",2025-07-07
"Lubbe, S.",A Collection of Biplots for Classification.,"International Association of Statistical Computing Asian Regional Section Conference, Taipei, Taiwan, 8 – 14 December 2024.",2024-12-08
"Buys, R., Sandilands, D., Lubbe, S. and van der Merwe, C.",bipl5: An R package for reactive calibrated axes biplots.,"SASA: 65th Annual conference of the South African Statistical Association, Stellenbosch, South Africa, 18 - 22 November 2024.",2024-11-18
"Lubbe, S.",Timeseries PCA biplots. ,"SASA: 65th Annual conference of the South African Statistical Association, Stellenbosch, South Africa, 18 - 22 November 2024.",2024-11-18
"Sebatjane, P., Lubbe, S. and le Roux, N.J.",Compositional biplot approaches. ,"SASA: 65th Annual conference of the South African Statistical Association, Stellenbosch, South Africa, 18 - 22 November 2024.",2024-11-18
" Ganey, R. and Lubbe, S.",A Canonical Variate Analysis Biplot based on the Generalised Singular Value Decomposition.,"ICORS meets DSSV 2024, Washington, USA, 29 July - 1 August 2024.",2024-07-29
"Lubbe, S.",A Collection of Biplots for Classification.,"IFCS: Conference of the International Federation of Classification Society, 15 – 19 July 2024, San Jose, Costa Rica.",2024-07-15
"Ganey, R and Lubbe, S.",A Canonical Variate Analysis Biplot based on the Generalized Singular Value Decomposition.,"SASA: 64th Annual conference of the South African Statistical Association, Durban, South Africa, 29 November – 1 December 2023.",2023-11-29
"Lubbe, S., le Roux, N.J., Nienkemper-Swanepoel, J., Ganey, R., Adams, Z. and Buys, R. ",BiplotEZ R package for EZier biplots. ,"SASA: 64th Annual conference of the South African Statistical Association, Durban, South Africa, 29 November – 1 December 2023.",2023-11-29
"Manefeldt, P.C., Lamont, M. and Lubbe, S.",Extending Random Forest Biplots through Manifold Exploration.,"SASA: 64th Annual conference of the South African Statistical Association, Durban, South Africa, 29 November – 1 December 2023.",2023-11-29
"Nienkemper-Swanepoel, J., le Roux, N. and Lubbe, S.",GPAbin MCA biplots to recover categorical response patterns after multiple imputation.,"SASA: 64th Annual conference of the South African Statistical Association, Durban, South Africa, 29 November – 1 December 2023.",2023-11-29
"Sebatjane, P., Lubbe, S. and le Roux, N.J. ", Visualization of compositional data. ,"SASA: 64th Annual conference of the South African Statistical Association, Durban, South Africa, 29 November – 1 December 2023.",2023-11-29
"van der Westhuizen, S., Heuvelink, G. and Lubbe, S.",Biplots for understanding machine learning predictions in digital soil mapping. ,"SASA: 64th Annual conference of the South African Statistical Association, Durban, South Africa, 29 November – 1 December 2023.",2023-11-29
"Lubbe, S.",Multi-dimensional Visualisations with biplotEZ.,"Southern Africa Mathematical Sciences Association conference, 21 – 24 November 2023, Pretoria, South Africa.",2023-11-21
"Lubbe, S.",the BIplot Zone for Exploring Truths in mixed scaled measurements.,"CARME: Correspondence Analysis and Related Methods, 26 – 29 September 2023, Bonn, Germany.",2023-09-26
"Ganey, R. and Lubbe, S.",High-dimensional LDA biplot through the GSVD: A case where p > N.,"COMPSTAT2023, 22-25 August 2023, London, UK.",2023-08-22
